City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
425,velingara,14,SN,1566618926,84,13.64,-16.01,79.13,16.78
426,ketchikan,75,US,1566618926,93,55.34,-131.65,57.2,8.05
427,kupang,53,ID,1566618926,78,-10.16,123.6,76.66,11.77
428,fare,0,PF,1566618926,68,-16.7,-151.02,78.36,7.99
429,outlook,29,CA,1566618927,92,51.48,-107.04,57.99,6.31
430,banjarmasin,20,ID,1566618691,58,-3.32,114.59,87.8,5.82
431,sangar,10,RU,1566618927,53,63.92,127.47,70.09,3.44
432,san cristobal,0,HN,1566618927,75,14.68,-86.92,68.58,5.17
433,viedma,100,AR,1566618928,54,-40.81,-62.99,56.34,16.15
434,immokalee,1,US,1566618928,88,26.42,-81.42,82.99,3.36
435,teguise,0,ES,1566618928,83,29.06,-13.56,75.2,8.05
436,sao joao da barra,73,BR,1566618928,94,-21.64,-41.05,62.03,2.55
437,gushikawa,75,JP,1566618928,70,26.35,127.87,89.6,17.22
438,labuhan,99,ID,1566618929,44,-2.54,115.51,91.82,2.89
439,ekhabi,100,RU,1566618929,74,53.51,142.97,56.92,11.92
440,porbandar,40,IN,1566618929,83,21.64,69.61,82.4,9.17
441,mucurapo,0,TT,1566618929,78,10.67,-61.53,80.6,4.7
442,vardo,75,US,1566618929,100,39.62,-77.74,64.4,2.04
443,takoradi,78,GH,1566618930,91,4.89,-1.75,73.8,5.53
444,broken hill,0,AU,1566618930,24,-31.97,141.45,68.0,13.87
445,tharad,94,IN,1566618930,72,24.39,71.63,83.32,13.24
446,tecolutla,100,MX,1566618930,91,17.31,-98.74,63.83,2.19
447,mehamn,97,NO,1566618930,92,71.03,27.85,42.81,7.38
448,polewali,33,ID,1566618931,72,-4.03,119.8,82.64,7.67
449,karpogory,99,RU,1566618931,92,64.0,44.44,50.11,1.61
450,sarishabari,100,BD,1566618931,82,24.75,89.83,80.55,10.74
451,aksha,22,RU,1566618931,53,50.28,113.29,68.55,6.69
452,xiantao,4,CN,1566618931,63,30.37,113.44,87.77,6.04
453,ola,68,RU,1566618932,83,59.58,151.3,55.98,10.98
454,sakaiminato,75,JP,1566618932,45,35.55,133.23,86.0,8.05
455,banjar,73,ID,1566618892,78,-7.37,108.54,74.74,4.5
456,ontario,39,US,1566618669,57,34.07,-117.65,80.01,12.75
457,venancio aires,0,BR,1566618932,93,-29.61,-52.19,46.99,2.33
458,walla walla,1,US,1566618809,34,46.06,-118.33,81.0,5.82
459,verkhoyansk,98,RU,1566618933,42,67.55,133.39,69.95,6.96
460,mayo,75,CA,1566618933,28,63.59,-135.9,59.0,5.82
461,ballina,100,IE,1566618933,99,54.11,-9.15,60.01,14.92
462,port keats,0,AU,1566618933,21,-14.25,129.55,86.83,8.37
463,port hawkesbury,75,CA,1566618934,68,45.62,-61.36,69.01,11.41
464,huarmey,67,PE,1566618934,92,-10.07,-78.15,59.13,12.24
465,ostrovnoy,100,RU,1566618934,92,68.05,39.51,43.87,2.08
466,pudozh,100,RU,1566618934,98,61.81,36.54,53.46,9.1
467,lifford,100,IE,1566618936,83,54.83,-7.48,54.87,4.38
468,kalmunai,87,LK,1566618936,62,7.42,81.82,80.61,0.94
469,muriwai beach,0,NZ,1566618936,71,-36.82,174.45,60.01,26.4
470,salalah,90,OM,1566618936,88,17.01,54.1,78.8,2.24
471,owerri,100,NG,1566618936,95,5.49,7.03,72.06,2.51
472,marshall,1,US,1566618688,83,39.12,-93.2,72.0,6.93
473,tessalit,92,ML,1566618937,52,20.2,1.01,87.01,7.58
474,oktyabrskoye,0,RU,1566618937,82,56.73,85.44,62.01,6.71
475,makat,0,KZ,1566618937,26,47.65,53.35,78.9,12.39
476,nokaneng,0,BW,1566618937,36,-19.66,22.19,52.65,5.59
477,port macquarie,0,AU,1566618938,28,-31.43,152.91,73.99,12.75
478,san patricio,100,PY,1566618938,82,-26.98,-56.83,52.2,5.7
479,san jeronimo,2,PE,1566618938,93,-13.65,-73.37,44.44,1.05
480,roma,0,IT,1566618737,68,41.89,12.48,75.2,5.82
481,gainesville,1,US,1566618688,100,29.65,-82.33,80.01,3.36
482,kampene,26,CD,1566618938,52,-3.59,26.67,68.82,1.81
483,balurghat,100,IN,1566618939,87,25.22,88.78,80.37,8.12
484,biak,94,ID,1566618939,79,-0.91,122.88,71.28,5.41
